# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Jan 19 08:52:22 2026
#
# User preference: *
#
# CONSTRAINT:  where (pl_radjstr > 0
# CONSTRAINT:  and pl_massjstr > 0)
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_massj:       Planet Mass [Jupiter Mass]
# COLUMN pl_massjerr1:   Planet Mass [Jupiter Mass] Upper Unc.
# COLUMN pl_massjerr2:   Planet Mass [Jupiter Mass] Lower Unc.
# COLUMN pl_massjlim:    Planet Mass [Jupiter Mass] Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
#
pl_name,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim
Kepler-80 g,0.09367489,0.01962712,-0.02141140,0,0.00020451,0.00013844,-0.00011956,0,,,,
Kepler-138 b,0.04656972,0.00285485,-0.00285485,0,0.00020766,0.00018563,-0.00011641,0,,,,
Kepler-138 b,0.05709707,0.00178428,-0.00178428,0,0.00022024,0.00006293,-0.00006293,0,452.00,8.00,-9.00,0
Kepler-444 e,0.04460701,0.00267642,-0.00356856,0,0.00031463,0.00062927,-0.00031463,0,,,,
Kepler-138 b,0.06253903,0.00588813,-0.00588813,0,0.00058836,0.00015732,-0.00015732,0,,,,
Kepler-444 d,0.04460701,0.00356856,-0.00356856,0,0.00062927,0.00157317,-0.00031463,0,,,,
TRAPPIST-1 d,0.06994380,0.00205192,-0.00205192,0,0.00093446,0.00012271,-0.00011012,0,,,,
TRAPPIST-1 h,0.06735670,0.00124900,-0.00124900,0,0.00102571,0.00006293,-0.00006293,0,,,,
TRAPPIST-1 h,0.06896244,0.00231956,-0.00240878,0,0.00104144,0.00017619,-0.00015417,0,,,,
LHS 1678 b,0.06209307,0.00392542,-0.00392542,0,0.00110122,,,1,,,,
TRAPPIST-1 d,0.07030077,0.00098136,-0.00089214,0,0.00122078,0.00003776,-0.00003776,0,,,,
TRAPPIST-1 d,0.07172820,0.00124900,-0.00107057,0,0.00122078,0.00003776,-0.00003776,0,286.00,3.00,-3.00,0
Kepler-33 c,0.23195646,0.04906771,-0.04906771,0,0.00122707,0.00390146,-0.00100683,0,,,,
L 98-59 b,0.07583205,0.00544206,-0.00419307,0,0.00125854,0.00050342,-0.00047195,0,627.00,33.00,-36.00,0
TRAPPIST-1 d,0.06887323,0.00267642,-0.00267642,0,0.00129000,0.00084951,-0.00084951,0,288.00,5.60,-5.60,0
KOI-55 b,0.06770000,,,0,0.00140000,,,0,,,,
L 98-59 b,0.07467227,0.00169507,-0.00169507,0,0.00144732,0.00034610,-0.00034610,0,620.00,13.00,-13.00,0
Kepler-345 b,0.07137122,0.00892140,-0.00892140,0,0.00157317,0.00094390,-0.00094390,0,,,,
GJ 367 b,0.06405578,0.00481757,-0.00481757,0,0.00171791,0.00024542,-0.00024542,0,1745.00,43.00,-43.00,0
